title,author,publisher,publication_date,original_price,sale_price,sale_index,review_count,rating,image_url,book_url
AI 에이전트 엔지니어링,마이클 알바다/강민혁 역,한빛미디어,2026년 01월,32000,28800,7656,3,10.0,https://image.yes24.com/goods/174018513/L,https://www.yes24.com/product/goods/174018513
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗,2026년 01월,26000,23400,8991,4,10.0,https://image.yes24.com/goods/169665962/L,https://www.yes24.com/product/goods/169665962
AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르/강미경 역",윌북(willbook),2025년 12월,24800,22320,12012,46,9.9,https://image.yes24.com/goods/167465671/L,https://www.yes24.com/product/goods/167465671
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,19000,17100,13224,39,9.7,https://image.yes24.com/goods/154232193/L,https://www.yes24.com/product/goods/154232193
MK에디션 CES 2026,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,20000,18000,7062,0,0.0,https://image.yes24.com/goods/174267330/L,https://www.yes24.com/product/goods/174267330
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,2026년 02월,32000,28800,3747,4,10.0,https://image.yes24.com/goods/175525819/L,https://www.yes24.com/product/goods/175525819
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,22000,19800,18201,86,9.9,https://image.yes24.com/goods/154566057/L,https://www.yes24.com/product/goods/154566057
대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,29000,26100,9339,12,9.8,https://image.yes24.com/goods/165239801/L,https://www.yes24.com/product/goods/165239801
AI가 쉬워지는 최소한의 수학,이동준,지상의책(갈매나무),2026년 02월,20000,18000,3252,3,10.0,https://image.yes24.com/goods/176526389/L,https://www.yes24.com/product/goods/176526389
AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호,책만,2026년 01월,28000,25200,5706,5,10.0,https://image.yes24.com/goods/175133788/L,https://www.yes24.com/product/goods/175133788
AI 엔지니어링,칩 후옌/변성윤 역,한빛미디어,2025년 09월,40000,36000,13980,15,9.9,https://image.yes24.com/goods/154925812/L,https://www.yes24.com/product/goods/154925812
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,16074,29,9.7,https://image.yes24.com/goods/152644865/L,https://www.yes24.com/product/goods/152644865
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,32000,28800,20226,142,9.7,https://image.yes24.com/goods/143912145/L,https://www.yes24.com/product/goods/143912145
Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,35000,31500,19311,21,9.7,https://image.yes24.com/goods/146036009/L,https://www.yes24.com/product/goods/146036009
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,24000,21600,16230,84,9.9,https://image.yes24.com/goods/153029475/L,https://www.yes24.com/product/goods/153029475
된다! 하루 만에 준비하는 AI 학교 수업 활용법,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,19800,17820,22638,39,10.0,https://image.yes24.com/goods/142814138/L,https://www.yes24.com/product/goods/142814138
된다! 피그마 디자인 10분 레시피,"하이서, 김대일, 김시원, 최유빈",이지스퍼블리싱,2026년 02월,28000,25200,2136,1,10.0,https://image.yes24.com/goods/176919464/L,https://www.yes24.com/product/goods/176919464
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025년 11월,28000,25200,8808,4,10.0,https://image.yes24.com/goods/162322988/L,https://www.yes24.com/product/goods/162322988
AI 팀원이 다 해줌,이나현,한빛미디어,2025년 12월,23000,20700,6900,136,9.9,https://image.yes24.com/goods/167452561/L,https://www.yes24.com/product/goods/167452561
요즘 유치원 교사를 위한 에듀테크 활용법 : 캔바/패들렛/네이버/구글/태블릿 활용법,"전서아, 김혜지, 김은자, 배수나, 전진형 외 1명
                                        
정보 더 보기/감추기



전서아
김혜지
김은자
배수나
전진형
김진영",앤써북,2025년 11월,16800,15120,6495,39,9.9,https://image.yes24.com/goods/165539763/L,https://www.yes24.com/product/goods/165539763
AI 에이전트 생태계,조쉬,로드북,2025년 08월,27000,24300,17949,15,9.7,https://image.yes24.com/goods/149414736/L,https://www.yes24.com/product/goods/149414736
수노로 시작하는 AI 작곡,"강성우, 한나래",제이펍,2025년 12월,20000,18000,4548,18,8.6,https://image.yes24.com/goods/168840773/L,https://www.yes24.com/product/goods/168840773
인공지능이 다 해주는 브루 Vrew 영상 편집,지현이/브루 개발팀 감수,시프트,2024년 10월,20000,18000,11250,19,9.7,https://image.yes24.com/goods/133823740/L,https://www.yes24.com/product/goods/133823740
"우리, 프로그래머들 We, Programmers",로버트 C. 마틴/최희철 역,길벗,2026년 01월,31000,27900,2976,9,10.0,https://image.yes24.com/goods/175232277/L,https://www.yes24.com/product/goods/175232277
AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지,김용성,프리렉,2024년 12월,25000,22500,26247,184,9.7,https://image.yes24.com/goods/139705941/L,https://www.yes24.com/product/goods/139705941
바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희 외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,22000,19800,18360,43,10.0,https://image.yes24.com/goods/152079426/L,https://www.yes24.com/product/goods/152079426
요즘 바이브 코딩 제미나이 CLI 완벽 가이드,김진환,골든래빗,2025년 12월,26000,23400,5313,79,9.9,https://image.yes24.com/goods/167384326/L,https://www.yes24.com/product/goods/167384326
밑바닥부터 시작하는 딥러닝 1,사이토 고키/개앞맵시 역,한빛미디어,2025년 01월,26000,23400,12561,137,9.2,https://image.yes24.com/goods/141787639/L,https://www.yes24.com/product/goods/141787639
AI 내부자들,"안건, 황민영, 김영현, 이활석, 박지혁 외 13명
                                        
정보 더 보기/감추기



안건
황민영
김영현
이활석
박지혁
홍창기
설형욱
문현지
한승주
이성민
문인태
이동현
노지혜
김수현
이민아
장요엘
유윤아
오창환",스마트북스,2025년 09월,22000,19800,5532,6,9.3,https://image.yes24.com/goods/153603522/L,https://www.yes24.com/product/goods/153603522
AI 에이전트 마스터 클래스,김구현,한빛미디어,2026년 01월,26000,23400,1695,3,10.0,https://image.yes24.com/goods/175902524/L,https://www.yes24.com/product/goods/175902524
밑바닥부터 만들면서 배우는 LLM,세바스찬 라시카/박해선 역,길벗,2025년 09월,40000,36000,11184,22,9.6,https://image.yes24.com/goods/154099735/L,https://www.yes24.com/product/goods/154099735
